epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12117.6,1.13825,0.79727,1.27011,0.88677,0.81554,0.88005,0.52988,1.42005,0.76942,1.46745,0.0007294,0.0007294,0.0007294
43,12405.9,1.12673,0.7891,1.25877,0.876,0.81308,0.86844,0.52872,1.41107,0.78088,1.445,0.0007228,0.0007228,0.0007228
44,12693.7,1.11532,0.7779,1.25914,0.86893,0.81845,0.87664,0.52665,1.41493,0.78936,1.44744,0.0007162,0.0007162,0.0007162
45,12981.6,1.11404,0.77166,1.26053,0.8859,0.80292,0.87848,0.53047,1.43514,0.77938,1.45217,0.0007096,0.0007096,0.0007096
46,13269.9,1.10853,0.75947,1.2419,0.83656,0.83791,0.87214,0.52032,1.43309,0.7948,1.46294,0.000703,0.000703,0.000703
47,13557.9,1.1065,0.76114,1.24461,0.90189,0.82946,0.89068,0.53505,1.41486,0.75958,1.45983,0.0006964,0.0006964,0.0006964
48,13846.3,1.09175,0.75619,1.23379,0.90054,0.8203,0.89674,0.5326,1.42872,0.77236,1.47311,0.0006898,0.0006898,0.0006898
49,14134.2,1.0878,0.74186,1.2348,0.8837,0.82163,0.88435,0.53245,1.41611,0.76855,1.46999,0.0006832,0.0006832,0.0006832
50,14422,1.08188,0.72162,1.22758,0.88564,0.83252,0.88679,0.53629,1.4014,0.74399,1.45461,0.0006766,0.0006766,0.0006766
51,287.146,1.08428,0.73282,1.22461,0.89927,0.81788,0.87068,0.52886,1.44172,0.76356,1.48914,0.00067,0.00067,0.00067
52,574.608,1.0881,0.73599,1.22967,0.88762,0.8017,0.86785,0.52483,1.42824,0.78809,1.47776,0.0006634,0.0006634,0.0006634
53,864.764,1.063,0.7156,1.21278,0.87221,0.8353,0.88376,0.53137,1.43389,0.76245,1.48677,0.0006568,0.0006568,0.0006568
54,1152.88,1.04794,0.70159,1.20781,0.88142,0.839,0.88666,0.53141,1.42165,0.75902,1.4905,0.0006502,0.0006502,0.0006502
55,1440.95,1.04875,0.70123,1.21204,0.87242,0.8328,0.87641,0.53203,1.41417,0.7651,1.48186,0.0006436,0.0006436,0.0006436
56,1728.42,1.04002,0.68415,1.19027,0.88169,0.8396,0.88247,0.53192,1.41708,0.75534,1.46567,0.000637,0.000637,0.000637
57,2016.77,1.03162,0.6759,1.19046,0.8703,0.83792,0.87739,0.53054,1.42666,0.75757,1.48094,0.0006304,0.0006304,0.0006304
